ref,file,text,url,title,retrieved,bytes,sha256,text_sha256,text_chars
6,ref-06.html,ref-06.txt,https://commonslibrary.parliament.uk/house-of-commons-coronavirus-timeline/,The coronavirus timeline: Measures taken by the House of Commons,2026-07-25 13:11 UTC,153733,85bb7453c1238b160188913c8eefa4638d937c2a62d907923c36736df7cd4ad7,51bb1b2f43bbec557e18e4c05ff76ad5ca5c8530ce517de1dd1a3830ecff1d94,51570
7,ref-07.pdf,ref-07.txt,https://www.instituteforgovernment.org.uk/sites/default/files/timeline-lockdown-web.pdf,"Timeline of UK coronavirus lockdowns, March 2020 to March 2021 - Institute for Government",2026-07-25 13:11 UTC,170548,840eb183d7778823d56a07992c9a4385fc6efa4f5cd16c153821865d01364581,0babc2f8f6d24201d3da4bb3f6f76f78640f7e0325fd15d422dae13cba131dbf,3581
9,ref-09.html,ref-09.txt,https://commonslibrary.parliament.uk/research-briefings/cbp-9068/,Coronavirus: A history of English lockdown laws - House of Commons Library,2026-07-25 13:11 UTC,78747,cbd9fcbe249547219d06e3de48fa74ef6f7c9a5e45e5b38d86a64040044987cd,42bb976245c3eefa4c694354dd966e868b04e1ecf184a1283bf5890ac722112a,7202
11,ref-11.pdf,ref-11.txt,https://www.instituteforgovernment.org.uk/sites/default/files/2022-12/timeline-coronavirus-lockdown-december-2021.pdf,"Timeline of UK government coronavirus lockdowns and measures, March 2020 to December 2021",2026-07-25 13:11 UTC,172807,bed84d439b658a9c8b231e65cd0a907c91c6cd10aaf326862f67b647a8c73980,914d687a6a416a7f1c329e578b7277f087fa81b86881b75018ce5bb8f9b78a40,5496
38,ref-38.pdf,ref-38.txt,https://www.officeforstudents.org.uk/media/6065/coronavirus-briefing-22-april-2020-update-august2021.pdf,Coronavirus briefing note 1 - 22 April 2020 - Office for Students,2026-07-25 13:11 UTC,284332,57bd731776888f8f108c540e62d10838f7f007bde9e1a930396f7e38b932e884,fac4af1374041ffd79f529d74c98391e3d712e037a6ce8c46f88dfc824a94eff,30063
49,ref-49.pdf,ref-49.txt,https://assets.publishing.service.gov.uk/media/6033ae1ce90e0766004259bb/S1103_Children_s_Task_and_finish_Group_Paper_on_Higher_Education_Settings_.pdf,1 Children's Task and finish Group: Paper on Higher Education Settings - GOV.UK,2026-07-25 13:11 UTC,2266468,bbebe9407ec2b728c2110e05362d1324af1ba716952a702424b8535527b9f5c0,32fccc7084562fc8f9b0685a7302f0ef6b8871887da7d145197f773f284564b7,63147
57,ref-57.html,ref-57.txt,https://www.gov.uk/government/news/christmasguidance-set-out-for-university-students,Christmas guidance set out for university students - GOV.UK,2026-07-25 13:11 UTC,77126,fda788c4b354fa3e9c5c32882f0a6309784e39733cfc2611176880585406f55e,6f9cf94e484013fa25f2d20419e33059e8d6c3f6d9a0fdab6ee9b0c561168661,6885
101,ref-101.html,ref-101.txt,https://www.legislation.gov.uk/uksi/2020/592/made,"The Health Protection (Coronavirus, Wearing of Face Coverings on Public Transport) (England) Regulations 2020",2026-07-25 15:23 UTC,66025,9de39c460ae3d2ba755e0a3e52ee32073fe5daa9aeb36208aac670d336eee44e,e63985a2731388cda52e6973f2c86c17baccbf7a3df7bdde88ea67f9a1542501,23108
102,ref-102.html,ref-102.txt,https://www.legislation.gov.uk/uksi/2021/1400/made,"The Health Protection (Coronavirus, Wearing of Face Coverings) (England) (Amendment) Regulations 2021",2026-07-25 15:30 UTC,95436,34a3b48c7db156014a3b14cc5022e62faa06b6e28e1f24631a26e41c77da62a3,be35933da111975ab1d57fc5d2c797bd96c7e87b0f7308020f099dfb1152c473,28319
103,ref-103.html,ref-103.txt,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/articles/coronavirusrelateddeathsbyethnicgroupenglandandwales/2march2020to10april2020,"Coronavirus (COVID-19) related deaths by ethnic group, England and Wales - Office for National Statistics",2026-07-25 18:05 UTC,79615,eddcdc178190145135dfd4f63a4ca2c9cca4ce5966ebf2dace1e5d899243c671,aafd899eb356bb5fca620c75333298b794321138eae8fa7d7a7f702e47bdb99a,23607
104,ref-104.pdf,ref-104.txt,https://acmedsci.ac.uk/file-download/51353957,Preparing for a challenging winter 2020/21 - Academy of Medical Sciences,2026-07-25 18:05 UTC,1335357,409179ca732418a59e1b5a4ffbd50253d11d92e9263375c3b9b698d6d7d94b6c,b6b854d96d496d171e80b5c5e9242d3f71b64ce5da19b62be389943748311d6d,258444
